Dataset,Defense,Attack,Eps,AUC,Path
australian,DM-γ,apgd,0.600,0.948907605548174,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_apgd_0.600.csv
australian,DM-γ,cw2,0.000,0.6880975919378879,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_cw2_0.000.csv
australian,DM-γ,cw2,10.000,0.8628939245988245,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_cw2_10.000.csv
australian,DM-κ,fgsm,0.300,0.8019262381097907,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_fgsm_0.300.csv
australian,DM-κ,fgsm,0.600,0.9452849062092544,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_fgsm_0.600.csv
australian,DM-κ,apgd,0.300,0.7644214907940824,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_apgd_0.300.csv
australian,DM-κ,apgd,0.600,0.9370853137015771,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_apgd_0.600.csv
australian,DM-κ,cw2,0.000,0.672470465692074,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_cw2_0.000.csv
australian,DM-κ,cw2,10.000,0.8672458565376948,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_cw2_10.000.csv
australian,BB,fgsm,0.300,0.4844463573953049,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_fgsm_0.300.csv
australian,BB,fgsm,0.600,0.5467211023522376,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_fgsm_0.600.csv
australian,BB,apgd,0.300,0.5015761050510339,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_apgd_0.300.csv
australian,BB,apgd,0.600,0.5679114996661491,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_apgd_0.600.csv
australian,BB,cw2,0.000,0.46972752601158047,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_cw2_0.000.csv
australian,BB,cw2,10.000,0.5633578282863372,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_cw2_10.000.csv
australian,Prob.,fgsm,0.300,0.7551840069029961,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_fgsm_0.300.csv
australian,Prob.,fgsm,0.600,0.6042142554635253,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_fgsm_0.600.csv
australian,Prob.,apgd,0.300,0.5441078704858855,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_apgd_0.300.csv
australian,Prob.,apgd,0.600,0.42154141773889686,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_apgd_0.600.csv
australian,Prob.,cw2,0.000,0.9824643645652767,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_cw2_0.000.csv
australian,Prob.,cw2,10.000,0.2316942614577527,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_cw2_10.000.csv
banknote,DM-δ,fgsm,0.300,0.7996548437982521,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_banknote_fgsm_0.300.csv
banknote,DM-δ,fgsm,0.600,0.8859981903664027,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_banknote_fgsm_0.600.csv
banknote,DM-δ,apgd,0.300,0.7347061668228679,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_banknote_apgd_0.300.csv
banknote,DM-δ,apgd,0.600,0.886313214620431,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_banknote_apgd_0.600.csv
banknote,DM-δ,cw2,0.000,0.8032585782217702,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_banknote_cw2_0.000.csv
banknote,DM-δ,cw2,10.000,0.7953111811256829,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_banknote_cw2_10.000.csv
banknote,DM-γ,fgsm,0.300,0.851011175976783,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_banknote_fgsm_0.300.csv
banknote,DM-γ,fgsm,0.600,0.9001350172213107,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_banknote_fgsm_0.600.csv
banknote,DM-γ,apgd,0.300,0.7653855315658938,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_banknote_apgd_0.300.csv
banknote,DM-γ,apgd,0.600,0.9029280109228108,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_banknote_apgd_0.600.csv
banknote,DM-γ,cw2,0.000,0.8303692059147236,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_banknote_cw2_0.000.csv
banknote,DM-γ,cw2,10.000,0.8657961464048168,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_banknote_cw2_10.000.csv
banknote,DM-κ,fgsm,0.300,0.7586457731958763,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_banknote_fgsm_0.300.csv
banknote,DM-κ,fgsm,0.600,0.8508436476863107,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_banknote_fgsm_0.600.csv
banknote,DM-κ,apgd,0.300,0.689400862230553,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_banknote_apgd_0.300.csv
banknote,DM-κ,apgd,0.600,0.8554902160499593,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_banknote_apgd_0.600.csv
banknote,DM-κ,cw2,0.000,0.7464667600101036,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_banknote_cw2_0.000.csv
banknote,DM-κ,cw2,10.000,0.7968690748897983,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_banknote_cw2_10.000.csv
