Dataset,Defense,Attack,Eps,AUC,Path
phoneme,BB,apgd,0.300,0.5338437162695422,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_phoneme_apgd_0.300.csv
phoneme,BB,apgd,0.600,0.6013977944084843,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_phoneme_apgd_0.600.csv
phoneme,BB,cw2,0.000,0.5123880498716953,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_phoneme_cw2_0.000.csv
phoneme,BB,cw2,10.000,0.8277888594051203,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_phoneme_cw2_10.000.csv
phoneme,Prob.,fgsm,0.300,0.6554516242925033,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_phoneme_fgsm_0.300.csv
phoneme,Prob.,fgsm,0.600,0.5873482363050381,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_phoneme_fgsm_0.600.csv
phoneme,Prob.,apgd,0.300,0.5225220989939869,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_phoneme_apgd_0.300.csv
phoneme,Prob.,apgd,0.600,0.4613476908032723,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_phoneme_apgd_0.600.csv
phoneme,Prob.,cw2,0.000,0.9934891001273286,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_phoneme_cw2_0.000.csv
phoneme,Prob.,cw2,10.000,0.14395215364493724,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_phoneme_cw2_10.000.csv
ringnorm,DM-δ,fgsm,0.300,0.5664810046019173,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_ringnorm_fgsm_0.300.csv
ringnorm,DM-δ,fgsm,0.600,0.608720685423917,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_ringnorm_fgsm_0.600.csv
ringnorm,DM-δ,apgd,0.300,0.572009960236041,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_ringnorm_apgd_0.300.csv
ringnorm,DM-δ,apgd,0.600,0.6204531831508691,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_ringnorm_apgd_0.600.csv
ringnorm,DM-δ,cw2,0.000,0.510423043002872,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_ringnorm_cw2_0.000.csv
ringnorm,DM-δ,cw2,10.000,0.50260215268548,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_ringnorm_cw2_10.000.csv
ringnorm,DM-γ,fgsm,0.300,0.5675611232986739,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_ringnorm_fgsm_0.300.csv
ringnorm,DM-γ,fgsm,0.600,0.6305602926480475,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_ringnorm_fgsm_0.600.csv
ringnorm,DM-γ,apgd,0.300,0.5796415684142097,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_ringnorm_apgd_0.300.csv
ringnorm,DM-γ,apgd,0.600,0.6440110753511487,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_ringnorm_apgd_0.600.csv
ringnorm,DM-γ,cw2,0.000,0.5077468065814206,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_ringnorm_cw2_0.000.csv
ringnorm,DM-γ,cw2,10.000,0.5023130823952278,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_ringnorm_cw2_10.000.csv
ringnorm,DM-κ,fgsm,0.300,0.5679355313125661,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_ringnorm_fgsm_0.300.csv
ringnorm,DM-κ,fgsm,0.600,0.6300103285526941,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_ringnorm_fgsm_0.600.csv
ringnorm,DM-κ,apgd,0.300,0.5798488044777546,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_ringnorm_apgd_0.300.csv
ringnorm,DM-κ,apgd,0.600,0.6441127669525833,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_ringnorm_apgd_0.600.csv
ringnorm,DM-κ,cw2,0.000,0.508630649959484,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_ringnorm_cw2_0.000.csv
ringnorm,DM-κ,cw2,10.000,0.50285972958767,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_ringnorm_cw2_10.000.csv
ringnorm,BB,fgsm,0.300,0.5146872942578897,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_ringnorm_fgsm_0.300.csv
ringnorm,BB,fgsm,0.600,0.5724959770901279,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_ringnorm_fgsm_0.600.csv
ringnorm,BB,apgd,0.300,0.5402750720234615,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_ringnorm_apgd_0.300.csv
ringnorm,BB,apgd,0.600,0.5902190203340681,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_ringnorm_apgd_0.600.csv
ringnorm,BB,cw2,0.000,0.45425495200199656,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_ringnorm_cw2_0.000.csv
ringnorm,BB,cw2,10.000,0.44869548586733976,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_ringnorm_cw2_10.000.csv
ringnorm,Prob.,fgsm,0.300,0.7075281120750497,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_ringnorm_fgsm_0.300.csv
ringnorm,Prob.,fgsm,0.600,0.5851716217563746,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_ringnorm_fgsm_0.600.csv
ringnorm,Prob.,apgd,0.300,0.5866465878149145,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_ringnorm_apgd_0.300.csv
ringnorm,Prob.,apgd,0.600,0.49409923751945234,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_ringnorm_apgd_0.600.csv
ringnorm,Prob.,cw2,0.000,0.9939938050661857,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_ringnorm_cw2_0.000.csv
ringnorm,Prob.,cw2,10.000,0.8227225486644986,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_ringnorm_cw2_10.000.csv
texture,DM-δ,fgsm,0.300,0.9587136291884607,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_texture_fgsm_0.300.csv
texture,DM-δ,fgsm,0.600,0.9937639359886612,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_texture_fgsm_0.600.csv
texture,DM-δ,apgd,0.300,0.9513838370150947,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_texture_apgd_0.300.csv
texture,DM-δ,apgd,0.600,0.9933330332997882,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_texture_apgd_0.600.csv
texture,DM-δ,cw2,0.000,0.7168304490098524,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_texture_cw2_0.000.csv
texture,DM-δ,cw2,10.000,0.8401189662819202,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_texture_cw2_10.000.csv
texture,DM-γ,fgsm,0.300,0.9254444260667891,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_texture_fgsm_0.300.csv
texture,DM-γ,fgsm,0.600,0.9920717624889057,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_texture_fgsm_0.600.csv
texture,DM-γ,apgd,0.300,0.9124060897384849,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_texture_apgd_0.300.csv
texture,DM-γ,apgd,0.600,0.9911992204460224,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_texture_apgd_0.600.csv
texture,DM-γ,cw2,0.000,0.6638229443312427,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_texture_cw2_0.000.csv
texture,DM-γ,cw2,10.000,0.7908951962174535,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_texture_cw2_10.000.csv
texture,DM-κ,fgsm,0.300,0.898673197075605,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_texture_fgsm_0.300.csv
texture,DM-κ,fgsm,0.600,0.9884136986403123,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_texture_fgsm_0.600.csv
texture,DM-κ,apgd,0.300,0.883310764027909,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_texture_apgd_0.300.csv
texture,DM-κ,apgd,0.600,0.9864629898835646,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_texture_apgd_0.600.csv
texture,DM-κ,cw2,0.000,0.6334767438127156,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_texture_cw2_0.000.csv
texture,DM-κ,cw2,10.000,0.7539744712026734,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_texture_cw2_10.000.csv
texture,BB,fgsm,0.300,0.5107303344216727,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_texture_fgsm_0.300.csv
texture,BB,fgsm,0.600,0.6133162746022371,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_texture_fgsm_0.600.csv
texture,BB,apgd,0.300,0.5063787221361544,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_texture_apgd_0.300.csv
texture,BB,apgd,0.600,0.6309274901563643,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_texture_apgd_0.600.csv
texture,BB,cw2,0.000,0.4653771732997252,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_texture_cw2_0.000.csv
texture,BB,cw2,10.000,0.4643783387939347,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_texture_cw2_10.000.csv
texture,Prob.,fgsm,0.300,0.6859948229620754,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_texture_fgsm_0.300.csv
texture,Prob.,fgsm,0.600,0.573519951204447,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_texture_fgsm_0.600.csv
texture,Prob.,apgd,0.300,0.5426986535856129,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_texture_apgd_0.300.csv
texture,Prob.,apgd,0.600,0.22132187669424064,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_texture_apgd_0.600.csv
texture,Prob.,cw2,0.000,0.9949815533835068,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_texture_cw2_0.000.csv
texture,Prob.,cw2,10.000,0.6410220123139387,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_texture_cw2_10.000.csv
